username,full_text,created_at
PolsekReteh,Kegiatan Jum'at Curhat Polsek Reteh. Kapolsek bersama anggota melaksanakan komunikasi tatap muka menampung aspirasi dan keluh kesah mahasiswa KKN Unisi di Pulau Kijang Kec. Reteh. #poldariau #polresinhil https://t.co/J7Cpx0d85m,Fri Sep 15 05:14:42 +0000 2023
reevnnn,keluh kesah mahasiswa undip cabang arteri https://t.co/ghQUmVxW9Z,Wed Oct 11 16:51:50 +0000 2023
areumichy,lucu bgt keluh kesah mahasiswa isinya meme smua wkwkwk https://t.co/apuJvj67KM,Mon Dec 11 12:54:19 +0000 2023
WirantoHar4,Ganjar sosok yg tulus dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/upwjkQB6Dl,Thu Oct 05 09:25:34 +0000 2023
rayjourneyy,nugas ft denger keluh kesah mahasiswa ub https://t.co/h6NR46nnKh,Thu Dec 14 05:49:30 +0000 2023
dahliamirnahhh_,Keren Ganjar dengerin keluh kesah mahasiswa. Keep it up! Ganjar Presiden https://t.co/j3pvhwRBQj,Thu Oct 05 09:20:02 +0000 2023
dianrusdianaa,Bukan cmn kuliah umum tp jg dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/adqhFsPlko,Thu Oct 05 09:36:19 +0000 2023
flwrpuff,keluh kesah mahasiswa di semester 6,Fri May 26 15:50:01 +0000 2023
MuhamadCahyaA2,Keluh kesah mahasiswa abadi,Fri Aug 25 13:19:35 +0000 2023
UGM_FESS,keluh kesah mahasiswa yujiem kelas dari jam 7 selesai jam 6 https://t.co/q0ppsl8LOT,Mon Mar 18 10:10:59 +0000 2024
Sam_Ardi,Makan pagi kesiangan makan siang kepagian. Ngeloyor ke warteg dekat kos. Ngobrol sambil dengerin keluh kesah sesama mahasiswa di tanggal tua begini https://t.co/x7iFePkoT2,Sun Aug 27 04:33:55 +0000 2023
ardisatriawan,Hal yang tidak boleh dilakukan selama kuliah S1: 1) Sakit parah sampai dirawat untuk memulihkan diri sampai beberapa bulan 2) Kehilangan orang yang dicintai sampai berduka tak kunjung pulih 3) Cuti kuliah untuk bekerja karena kehabisan uang perlu bayar UKT dan ongkos kuliah ,Fri Feb 23 15:58:35 +0000 2024
xxidkwhoiam,keluh kesah mahasiswa https://t.co/O9UPXFRGrd,Mon Jun 05 17:19:05 +0000 2023
BEM_FHUI,[KELUH KESAH MAHASISWA DIDENGAR OLEH CALON DEKAN FH UI MEMANG BISA?] https://t.co/mwmdTjwjfX,Sun May 07 12:31:47 +0000 2023
gerythecats66,Keluh kesah mahasiswa kampus Masih kebaca gak tulisannya? https://t.co/jc3qs0YU2Q,Sun Jul 14 05:29:27 +0000 2024
hmpskpi_uinrms,[Teaser Company Profile HMPS KPI 2024 Periode Gana Gautama!!] Hai Friendscom HMPS KPI hadir untuk menjadi wadah aspirasi maupun keluh kesah Mahasiswa KPI. Libatkan HMPS KPI dalam menghadapi segala problematika yang ada dalam Prodi KPI. Durasi penuh ada di channel YouTube!! https://t.co/rwFIYD8Oyr,Tue Jun 25 15:05:46 +0000 2024
ahnafau,Struggle mahasiswa: Ditolak organisasi beasiswa dan magang. Setelah beberapa tahun &amp; tanya mahasiswa2 yang lebih sukses ternyata kuncinya 1: Kita harus bisa ngasih apa yang penyelenggara mau. Gimana caranya? A thread.,Sun Jul 31 13:12:47 +0000 2022
